image,question,answer
4166.jpg,What is the value of Second digit ?,0
4167.jpg,What is the value of Second digit ?,6
4168.jpg,What is the value of Second digit ?,9
4169.jpg,What is the value of Second digit ?,1
4170.jpg,What is the value of Second digit ?,0
4171.jpg,What is the value of Second digit ?,4
4172.jpg,What is the value of Second digit ?,8
4173.jpg,What is the value of Second digit ?,5
4174.jpg,What is the value of Second digit ?,9
4175.jpg,What is the value of Second digit ?,0
4176.jpg,What is the value of Second digit ?,8
4177.jpg,What is the value of Second digit ?,7
4178.jpg,What is the value of Second digit ?,6
4179.jpg,What is the value of Second digit ?,1
4180.jpg,What is the value of Second digit ?,4
4181.jpg,What is the value of Second digit ?,5
4182.jpg,What is the value of Second digit ?,9
4183.jpg,What is the value of Second digit ?,8
4184.jpg,What is the value of Second digit ?,1
4185.jpg,What is the value of Second digit ?,2
4186.jpg,What is the value of Second digit ?,6
4187.jpg,What is the value of Second digit ?,6
4188.jpg,What is the value of Second digit ?,2
4189.jpg,What is the value of Second digit ?,5
4190.jpg,What is the value of Second digit ?,1
4191.jpg,What is the value of Second digit ?,2
4192.jpg,What is the value of Second digit ?,1
4193.jpg,What is the value of Second digit ?,9
4194.jpg,What is the value of Second digit ?,5
4195.jpg,What is the value of Second digit ?,3
4196.jpg,What is the value of Second digit ?,2
4197.jpg,What is the value of Second digit ?,6
4198.jpg,What is the value of Second digit ?,0
4199.jpg,What is the value of Second digit ?,0
4200.jpg,What is the value of Second digit ?,9
4201.jpg,What is the value of Second digit ?,6
4202.jpg,What is the value of Second digit ?,0
4203.jpg,What is the value of Second digit ?,7
4204.jpg,What is the value of Second digit ?,7
4205.jpg,What is the value of Second digit ?,7
4206.jpg,What is the value of Second digit ?,8
4207.jpg,What is the value of Second digit ?,6
4208.jpg,What is the value of Second digit ?,4
4209.jpg,What is the value of Second digit ?,2
4210.jpg,What is the value of Second digit ?,0
4211.jpg,What is the value of Second digit ?,8
4212.jpg,What is the value of Second digit ?,4
4213.jpg,What is the value of Second digit ?,5
4214.jpg,What is the value of Second digit ?,7
4215.jpg,What is the value of Second digit ?,9
4216.jpg,What is the value of Second digit ?,2
4217.jpg,What is the value of Second digit ?,1
4218.jpg,What is the value of Second digit ?,0
4219.jpg,What is the value of Second digit ?,7
4220.jpg,What is the value of Second digit ?,1
4221.jpg,What is the value of Second digit ?,1
4222.jpg,What is the value of Second digit ?,8
4223.jpg,What is the value of Second digit ?,4
4224.jpg,What is the value of Second digit ?,3
4225.jpg,What is the value of Second digit ?,6
4226.jpg,What is the value of Second digit ?,6
4227.jpg,What is the value of Second digit ?,4
4228.jpg,What is the value of Second digit ?,9
4229.jpg,What is the value of Second digit ?,7
4230.jpg,What is the value of Second digit ?,0
4231.jpg,What is the value of Second digit ?,1
4232.jpg,What is the value of Second digit ?,4
4233.jpg,What is the value of Second digit ?,5
4234.jpg,What is the value of Second digit ?,4
4235.jpg,What is the value of Second digit ?,2
4236.jpg,What is the value of Second digit ?,9
4237.jpg,What is the value of Second digit ?,3
4238.jpg,What is the value of Second digit ?,9
4239.jpg,What is the value of Second digit ?,1
4240.jpg,What is the value of Second digit ?,1
4241.jpg,What is the value of Second digit ?,0
4242.jpg,What is the value of Second digit ?,4
4243.jpg,What is the value of Second digit ?,2
4244.jpg,What is the value of Second digit ?,2
4245.jpg,What is the value of Second digit ?,0
4246.jpg,What is the value of Second digit ?,6
4247.jpg,What is the value of Second digit ?,9
4248.jpg,What is the value of Second digit ?,3
4249.jpg,What is the value of Second digit ?,3
4250.jpg,What is the value of Second digit ?,1
4251.jpg,What is the value of Second digit ?,3
4252.jpg,What is the value of Second digit ?,6
4253.jpg,What is the value of Second digit ?,4
4254.jpg,What is the value of Second digit ?,2
4255.jpg,What is the value of Second digit ?,4
4256.jpg,What is the value of Second digit ?,7
4257.jpg,What is the value of Second digit ?,7
4258.jpg,What is the value of Second digit ?,2
4259.jpg,What is the value of Second digit ?,9
4260.jpg,What is the value of Second digit ?,9
4261.jpg,What is the value of Second digit ?,9
4262.jpg,What is the value of Second digit ?,7
4263.jpg,What is the value of Second digit ?,6
4264.jpg,What is the value of Second digit ?,5
4265.jpg,What is the value of Second digit ?,7
4266.jpg,What is the value of Second digit ?,9
4267.jpg,What is the value of Second digit ?,6
4268.jpg,What is the value of Second digit ?,8
4269.jpg,What is the value of Second digit ?,0
4270.jpg,What is the value of Second digit ?,8
4271.jpg,What is the value of Second digit ?,4
4272.jpg,What is the value of Second digit ?,7
4273.jpg,What is the value of Second digit ?,0
4274.jpg,What is the value of Second digit ?,7
4275.jpg,What is the value of Second digit ?,6
4276.jpg,What is the value of Second digit ?,5
4277.jpg,What is the value of Second digit ?,6
4278.jpg,What is the value of Second digit ?,2
4279.jpg,What is the value of Second digit ?,8
4280.jpg,What is the value of Second digit ?,2
4281.jpg,What is the value of Second digit ?,3
4282.jpg,What is the value of Second digit ?,4
4283.jpg,What is the value of Second digit ?,7
4284.jpg,What is the value of Second digit ?,4
4285.jpg,What is the value of Second digit ?,1
4286.jpg,What is the value of Second digit ?,8
4287.jpg,What is the value of Second digit ?,5
4288.jpg,What is the value of Second digit ?,8
4289.jpg,What is the value of Second digit ?,5
4290.jpg,What is the value of Second digit ?,0
4291.jpg,What is the value of Second digit ?,9
4292.jpg,What is the value of Second digit ?,8
4293.jpg,What is the value of Second digit ?,6
4294.jpg,What is the value of Second digit ?,7
4295.jpg,What is the value of Second digit ?,9
4296.jpg,What is the value of Second digit ?,3
4297.jpg,What is the value of Second digit ?,0
4298.jpg,What is the value of Second digit ?,9
4299.jpg,What is the value of Second digit ?,8
4300.jpg,What is the value of Second digit ?,1
4301.jpg,What is the value of Second digit ?,0
4302.jpg,What is the value of Second digit ?,4
4303.jpg,What is the value of Second digit ?,4
4304.jpg,What is the value of Second digit ?,4
4305.jpg,What is the value of Second digit ?,0
4306.jpg,What is the value of Second digit ?,1
4307.jpg,What is the value of Second digit ?,1
4308.jpg,What is the value of Second digit ?,7
4309.jpg,What is the value of Second digit ?,3
4310.jpg,What is the value of Second digit ?,5
4311.jpg,What is the value of Second digit ?,7
4312.jpg,What is the value of Second digit ?,6
4313.jpg,What is the value of Second digit ?,2
4314.jpg,What is the value of Second digit ?,1
4315.jpg,What is the value of Second digit ?,1
4316.jpg,What is the value of Second digit ?,2
4317.jpg,What is the value of Second digit ?,8
4318.jpg,What is the value of Second digit ?,7
4319.jpg,What is the value of Second digit ?,3
4320.jpg,What is the value of Second digit ?,0
4321.jpg,What is the value of Second digit ?,1
4322.jpg,What is the value of Second digit ?,7
4323.jpg,What is the value of Second digit ?,3
4324.jpg,What is the value of Second digit ?,2
4325.jpg,What is the value of Second digit ?,2
4326.jpg,What is the value of Second digit ?,9
4327.jpg,What is the value of Second digit ?,9
4328.jpg,What is the value of Second digit ?,6
4329.jpg,What is the value of Second digit ?,3
4330.jpg,What is the value of Second digit ?,4
4331.jpg,What is the value of Second digit ?,5
4332.jpg,What is the value of Second digit ?,9
4333.jpg,What is the value of Second digit ?,1
4334.jpg,What is the value of Second digit ?,4
4335.jpg,What is the value of Second digit ?,5
4336.jpg,What is the value of Second digit ?,3
4337.jpg,What is the value of Second digit ?,0
4338.jpg,What is the value of Second digit ?,8
4339.jpg,What is the value of Second digit ?,6
4340.jpg,What is the value of Second digit ?,2
4341.jpg,What is the value of Second digit ?,6
4342.jpg,What is the value of Second digit ?,5
4343.jpg,What is the value of Second digit ?,8
4344.jpg,What is the value of Second digit ?,2
4345.jpg,What is the value of Second digit ?,5
4346.jpg,What is the value of Second digit ?,8
4347.jpg,What is the value of Second digit ?,2
4348.jpg,What is the value of Second digit ?,2
4349.jpg,What is the value of Second digit ?,9
4350.jpg,What is the value of Second digit ?,8
4351.jpg,What is the value of Second digit ?,4
4352.jpg,What is the value of Second digit ?,0
4353.jpg,What is the value of Second digit ?,0
4354.jpg,What is the value of Second digit ?,7
4355.jpg,What is the value of Second digit ?,7
4356.jpg,What is the value of Second digit ?,3
4357.jpg,What is the value of Second digit ?,1
4358.jpg,What is the value of Second digit ?,4
4359.jpg,What is the value of Second digit ?,2
4360.jpg,What is the value of Second digit ?,2
4361.jpg,What is the value of Second digit ?,9
4362.jpg,What is the value of Second digit ?,5
4363.jpg,What is the value of Second digit ?,6
4364.jpg,What is the value of Second digit ?,1
4365.jpg,What is the value of Second digit ?,7
4366.jpg,What is the value of Second digit ?,9
4367.jpg,What is the value of Second digit ?,6
4368.jpg,What is the value of Second digit ?,1
4369.jpg,What is the value of Second digit ?,6
4370.jpg,What is the value of Second digit ?,6
4371.jpg,What is the value of Second digit ?,2
4372.jpg,What is the value of Second digit ?,6
4373.jpg,What is the value of Second digit ?,0
4374.jpg,What is the value of Second digit ?,8
4375.jpg,What is the value of Second digit ?,1
4376.jpg,What is the value of Second digit ?,4
4377.jpg,What is the value of Second digit ?,7
4378.jpg,What is the value of Second digit ?,5
4379.jpg,What is the value of Second digit ?,9
4380.jpg,What is the value of Second digit ?,4
4381.jpg,What is the value of Second digit ?,9
4382.jpg,What is the value of Second digit ?,0
4383.jpg,What is the value of Second digit ?,3
4384.jpg,What is the value of Second digit ?,1
4385.jpg,What is the value of Second digit ?,5
4386.jpg,What is the value of Second digit ?,7
4387.jpg,What is the value of Second digit ?,6
4388.jpg,What is the value of Second digit ?,7
4389.jpg,What is the value of Second digit ?,7
4390.jpg,What is the value of Second digit ?,5
4391.jpg,What is the value of Second digit ?,2
4392.jpg,What is the value of Second digit ?,6
4393.jpg,What is the value of Second digit ?,3
4394.jpg,What is the value of Second digit ?,1
4395.jpg,What is the value of Second digit ?,0
4396.jpg,What is the value of Second digit ?,9
4397.jpg,What is the value of Second digit ?,6
4398.jpg,What is the value of Second digit ?,9
4399.jpg,What is the value of Second digit ?,5
4400.jpg,What is the value of Second digit ?,0
4401.jpg,What is the value of Second digit ?,4
4402.jpg,What is the value of Second digit ?,4
4403.jpg,What is the value of Second digit ?,7
4404.jpg,What is the value of Second digit ?,1
4405.jpg,What is the value of Second digit ?,8
4406.jpg,What is the value of Second digit ?,3
4407.jpg,What is the value of Second digit ?,5
4408.jpg,What is the value of Second digit ?,3
4409.jpg,What is the value of Second digit ?,1
4410.jpg,What is the value of Second digit ?,0
4411.jpg,What is the value of Second digit ?,2
4412.jpg,What is the value of Second digit ?,5
4413.jpg,What is the value of Second digit ?,8
4414.jpg,What is the value of Second digit ?,4
4415.jpg,What is the value of Second digit ?,6
4416.jpg,What is the value of Second digit ?,7
4417.jpg,What is the value of Second digit ?,5
4418.jpg,What is the value of Second digit ?,1
4419.jpg,What is the value of Second digit ?,0
4420.jpg,What is the value of Second digit ?,8
4421.jpg,What is the value of Second digit ?,3
4422.jpg,What is the value of Second digit ?,9
4423.jpg,What is the value of Second digit ?,0
4424.jpg,What is the value of Second digit ?,3
4425.jpg,What is the value of Second digit ?,9
4426.jpg,What is the value of Second digit ?,4
4427.jpg,What is the value of Second digit ?,5
4428.jpg,What is the value of Second digit ?,2
4429.jpg,What is the value of Second digit ?,5
4430.jpg,What is the value of Second digit ?,8
4431.jpg,What is the value of Second digit ?,7
4432.jpg,What is the value of Second digit ?,2
4433.jpg,What is the value of Second digit ?,8
4434.jpg,What is the value of Second digit ?,8
4435.jpg,What is the value of Second digit ?,3
4436.jpg,What is the value of Second digit ?,2
4437.jpg,What is the value of Second digit ?,5
4438.jpg,What is the value of Second digit ?,0
4439.jpg,What is the value of Second digit ?,7
4440.jpg,What is the value of Second digit ?,9
4441.jpg,What is the value of Second digit ?,0
4442.jpg,What is the value of Second digit ?,9
4443.jpg,What is the value of Second digit ?,8
4444.jpg,What is the value of Second digit ?,8
4445.jpg,What is the value of Second digit ?,9
4446.jpg,What is the value of Second digit ?,3
4447.jpg,What is the value of Second digit ?,0
4448.jpg,What is the value of Second digit ?,7
4449.jpg,What is the value of Second digit ?,0
4450.jpg,What is the value of Second digit ?,0
4451.jpg,What is the value of Second digit ?,8
4452.jpg,What is the value of Second digit ?,7
4453.jpg,What is the value of Second digit ?,3
4454.jpg,What is the value of Second digit ?,3
4455.jpg,What is the value of Second digit ?,9
4456.jpg,What is the value of Second digit ?,1
4457.jpg,What is the value of Second digit ?,9
4458.jpg,What is the value of Second digit ?,8
4459.jpg,What is the value of Second digit ?,4
4460.jpg,What is the value of Second digit ?,5
4461.jpg,What is the value of Second digit ?,8
4462.jpg,What is the value of Second digit ?,6
4463.jpg,What is the value of Second digit ?,3
4464.jpg,What is the value of Second digit ?,8
4465.jpg,What is the value of Second digit ?,8
4466.jpg,What is the value of Second digit ?,5
4467.jpg,What is the value of Second digit ?,0
4468.jpg,What is the value of Second digit ?,2
4469.jpg,What is the value of Second digit ?,2
4470.jpg,What is the value of Second digit ?,3
4471.jpg,What is the value of Second digit ?,7
4472.jpg,What is the value of Second digit ?,7
4473.jpg,What is the value of Second digit ?,8
4474.jpg,What is the value of Second digit ?,8
4475.jpg,What is the value of Second digit ?,1
4476.jpg,What is the value of Second digit ?,3
4477.jpg,What is the value of Second digit ?,0
4478.jpg,What is the value of Second digit ?,2
4479.jpg,What is the value of Second digit ?,9
4480.jpg,What is the value of Second digit ?,1
4481.jpg,What is the value of Second digit ?,2
4482.jpg,What is the value of Second digit ?,6
4483.jpg,What is the value of Second digit ?,7
4484.jpg,What is the value of Second digit ?,0
4485.jpg,What is the value of Second digit ?,9
4486.jpg,What is the value of Second digit ?,3
4487.jpg,What is the value of Second digit ?,1
4488.jpg,What is the value of Second digit ?,8
4489.jpg,What is the value of Second digit ?,8
4490.jpg,What is the value of Second digit ?,0
4491.jpg,What is the value of Second digit ?,4
4492.jpg,What is the value of Second digit ?,2
4493.jpg,What is the value of Second digit ?,2
4494.jpg,What is the value of Second digit ?,5
4495.jpg,What is the value of Second digit ?,2
4496.jpg,What is the value of Second digit ?,7
4497.jpg,What is the value of Second digit ?,5
4498.jpg,What is the value of Second digit ?,4
4499.jpg,What is the value of Second digit ?,6
4500.jpg,What is the value of Second digit ?,4
4501.jpg,What is the value of Second digit ?,5
4502.jpg,What is the value of Second digit ?,8
4503.jpg,What is the value of Second digit ?,5
4504.jpg,What is the value of Second digit ?,3
4505.jpg,What is the value of Second digit ?,7
4506.jpg,What is the value of Second digit ?,1
4507.jpg,What is the value of Second digit ?,1
4508.jpg,What is the value of Second digit ?,1
4509.jpg,What is the value of Second digit ?,8
4510.jpg,What is the value of Second digit ?,3
4511.jpg,What is the value of Second digit ?,3
4512.jpg,What is the value of Second digit ?,6
4513.jpg,What is the value of Second digit ?,1
4514.jpg,What is the value of Second digit ?,3
4515.jpg,What is the value of Second digit ?,4
4516.jpg,What is the value of Second digit ?,2
4517.jpg,What is the value of Second digit ?,5
4518.jpg,What is the value of Second digit ?,7
4519.jpg,What is the value of Second digit ?,0
4520.jpg,What is the value of Second digit ?,7
4521.jpg,What is the value of Second digit ?,6
4522.jpg,What is the value of Second digit ?,6
4523.jpg,What is the value of Second digit ?,1
4524.jpg,What is the value of Second digit ?,5
4525.jpg,What is the value of Second digit ?,0
4526.jpg,What is the value of Second digit ?,2
4527.jpg,What is the value of Second digit ?,0
4528.jpg,What is the value of Second digit ?,6
4529.jpg,What is the value of Second digit ?,9
4530.jpg,What is the value of Second digit ?,3
4531.jpg,What is the value of Second digit ?,8
4532.jpg,What is the value of Second digit ?,2
4533.jpg,What is the value of Second digit ?,5
4534.jpg,What is the value of Second digit ?,5
4535.jpg,What is the value of Second digit ?,2
4536.jpg,What is the value of Second digit ?,4
4537.jpg,What is the value of Second digit ?,6
4538.jpg,What is the value of Second digit ?,7
4539.jpg,What is the value of Second digit ?,2
4540.jpg,What is the value of Second digit ?,9
4541.jpg,What is the value of Second digit ?,8
4542.jpg,What is the value of Second digit ?,0
4543.jpg,What is the value of Second digit ?,2
4544.jpg,What is the value of Second digit ?,4
4545.jpg,What is the value of Second digit ?,5
4546.jpg,What is the value of Second digit ?,8
4547.jpg,What is the value of Second digit ?,1
4548.jpg,What is the value of Second digit ?,7
4549.jpg,What is the value of Second digit ?,0
4550.jpg,What is the value of Second digit ?,5
4551.jpg,What is the value of Second digit ?,9
4552.jpg,What is the value of Second digit ?,7
4553.jpg,What is the value of Second digit ?,3
4554.jpg,What is the value of Second digit ?,2
4555.jpg,What is the value of Second digit ?,2
4556.jpg,What is the value of Second digit ?,4
4557.jpg,What is the value of Second digit ?,3
4558.jpg,What is the value of Second digit ?,9
4559.jpg,What is the value of Second digit ?,2
4560.jpg,What is the value of Second digit ?,5
4561.jpg,What is the value of Second digit ?,3
4562.jpg,What is the value of Second digit ?,4
4563.jpg,What is the value of Second digit ?,5
4564.jpg,What is the value of Second digit ?,0
4565.jpg,What is the value of Second digit ?,3
4566.jpg,What is the value of Second digit ?,6
4567.jpg,What is the value of Second digit ?,6
4568.jpg,What is the value of Second digit ?,7
4569.jpg,What is the value of Second digit ?,2
4570.jpg,What is the value of Second digit ?,9
4571.jpg,What is the value of Second digit ?,6
4572.jpg,What is the value of Second digit ?,0
4573.jpg,What is the value of Second digit ?,8
4574.jpg,What is the value of Second digit ?,5
4575.jpg,What is the value of Second digit ?,9
4576.jpg,What is the value of Second digit ?,2
4577.jpg,What is the value of Second digit ?,3
4578.jpg,What is the value of Second digit ?,3
4579.jpg,What is the value of Second digit ?,4
4580.jpg,What is the value of Second digit ?,6
4581.jpg,What is the value of Second digit ?,4
4582.jpg,What is the value of Second digit ?,9
4583.jpg,What is the value of Second digit ?,2
4584.jpg,What is the value of Second digit ?,9
4585.jpg,What is the value of Second digit ?,8
4586.jpg,What is the value of Second digit ?,4
4587.jpg,What is the value of Second digit ?,9
4588.jpg,What is the value of Second digit ?,6
4589.jpg,What is the value of Second digit ?,4
4590.jpg,What is the value of Second digit ?,6
4591.jpg,What is the value of Second digit ?,9
4592.jpg,What is the value of Second digit ?,5
4593.jpg,What is the value of Second digit ?,2
4594.jpg,What is the value of Second digit ?,8
4595.jpg,What is the value of Second digit ?,8
4596.jpg,What is the value of Second digit ?,6
4597.jpg,What is the value of Second digit ?,9
4598.jpg,What is the value of Second digit ?,9
4599.jpg,What is the value of Second digit ?,8
4600.jpg,What is the value of Second digit ?,5
4601.jpg,What is the value of Second digit ?,5
4602.jpg,What is the value of Second digit ?,2
4603.jpg,What is the value of Second digit ?,0
4604.jpg,What is the value of Second digit ?,5
4605.jpg,What is the value of Second digit ?,7
4606.jpg,What is the value of Second digit ?,9
4607.jpg,What is the value of Second digit ?,1
4608.jpg,What is the value of Second digit ?,7
4609.jpg,What is the value of Second digit ?,0
4610.jpg,What is the value of Second digit ?,5
4611.jpg,What is the value of Second digit ?,8
4612.jpg,What is the value of Second digit ?,7
4613.jpg,What is the value of Second digit ?,3
4614.jpg,What is the value of Second digit ?,1
4615.jpg,What is the value of Second digit ?,6
4616.jpg,What is the value of Second digit ?,5
4617.jpg,What is the value of Second digit ?,7
4618.jpg,What is the value of Second digit ?,4
4619.jpg,What is the value of Second digit ?,6
4620.jpg,What is the value of Second digit ?,8
4621.jpg,What is the value of Second digit ?,2
4622.jpg,What is the value of Second digit ?,6
4623.jpg,What is the value of Second digit ?,0
4624.jpg,What is the value of Second digit ?,3
4625.jpg,What is the value of Second digit ?,8
4626.jpg,What is the value of Second digit ?,8
4627.jpg,What is the value of Second digit ?,1
4628.jpg,What is the value of Second digit ?,6
4629.jpg,What is the value of Second digit ?,4
4630.jpg,What is the value of Second digit ?,1
4631.jpg,What is the value of Second digit ?,6
4632.jpg,What is the value of Second digit ?,8
4633.jpg,What is the value of Second digit ?,7
4634.jpg,What is the value of Second digit ?,0
4635.jpg,What is the value of Second digit ?,4
4636.jpg,What is the value of Second digit ?,7
4637.jpg,What is the value of Second digit ?,8
4638.jpg,What is the value of Second digit ?,5
4639.jpg,What is the value of Second digit ?,9
4640.jpg,What is the value of Second digit ?,1
4641.jpg,What is the value of Second digit ?,8
4642.jpg,What is the value of Second digit ?,7
4643.jpg,What is the value of Second digit ?,7
4644.jpg,What is the value of Second digit ?,8
4645.jpg,What is the value of Second digit ?,4
4646.jpg,What is the value of Second digit ?,4
4647.jpg,What is the value of Second digit ?,7
4648.jpg,What is the value of Second digit ?,0
4649.jpg,What is the value of Second digit ?,7
4650.jpg,What is the value of Second digit ?,0
4651.jpg,What is the value of Second digit ?,2
4652.jpg,What is the value of Second digit ?,8
4653.jpg,What is the value of Second digit ?,8
4654.jpg,What is the value of Second digit ?,0
4655.jpg,What is the value of Second digit ?,0
4656.jpg,What is the value of Second digit ?,9
4657.jpg,What is the value of Second digit ?,0
4658.jpg,What is the value of Second digit ?,1
4659.jpg,What is the value of Second digit ?,4
4660.jpg,What is the value of Second digit ?,4
4661.jpg,What is the value of Second digit ?,1
4662.jpg,What is the value of Second digit ?,5
4663.jpg,What is the value of Second digit ?,2
4664.jpg,What is the value of Second digit ?,9
4665.jpg,What is the value of Second digit ?,5
4666.jpg,What is the value of Second digit ?,9
4667.jpg,What is the value of Second digit ?,2
4668.jpg,What is the value of Second digit ?,9
4669.jpg,What is the value of Second digit ?,2
4670.jpg,What is the value of Second digit ?,9
4671.jpg,What is the value of Second digit ?,9
4672.jpg,What is the value of Second digit ?,6
4673.jpg,What is the value of Second digit ?,3
4674.jpg,What is the value of Second digit ?,2
4675.jpg,What is the value of Second digit ?,6
4676.jpg,What is the value of Second digit ?,5
4677.jpg,What is the value of Second digit ?,7
4678.jpg,What is the value of Second digit ?,6
4679.jpg,What is the value of Second digit ?,3
4680.jpg,What is the value of Second digit ?,8
4681.jpg,What is the value of Second digit ?,0
4682.jpg,What is the value of Second digit ?,9
4683.jpg,What is the value of Second digit ?,2
4684.jpg,What is the value of Second digit ?,8
4685.jpg,What is the value of Second digit ?,6
4686.jpg,What is the value of Second digit ?,7
4687.jpg,What is the value of Second digit ?,3
4688.jpg,What is the value of Second digit ?,0
4689.jpg,What is the value of Second digit ?,6
4690.jpg,What is the value of Second digit ?,9
4691.jpg,What is the value of Second digit ?,7
4692.jpg,What is the value of Second digit ?,1
4693.jpg,What is the value of Second digit ?,1
4694.jpg,What is the value of Second digit ?,8
4695.jpg,What is the value of Second digit ?,9
4696.jpg,What is the value of Second digit ?,8
4697.jpg,What is the value of Second digit ?,2
4698.jpg,What is the value of Second digit ?,8
4699.jpg,What is the value of Second digit ?,8
4700.jpg,What is the value of Second digit ?,9
4701.jpg,What is the value of Second digit ?,4
4702.jpg,What is the value of Second digit ?,0
4703.jpg,What is the value of Second digit ?,8
4704.jpg,What is the value of Second digit ?,9
4705.jpg,What is the value of Second digit ?,0
4706.jpg,What is the value of Second digit ?,2
4707.jpg,What is the value of Second digit ?,3
4708.jpg,What is the value of Second digit ?,0
4709.jpg,What is the value of Second digit ?,1
4710.jpg,What is the value of Second digit ?,7
4711.jpg,What is the value of Second digit ?,1
4712.jpg,What is the value of Second digit ?,6
4713.jpg,What is the value of Second digit ?,8
4714.jpg,What is the value of Second digit ?,4
4715.jpg,What is the value of Second digit ?,4
4716.jpg,What is the value of Second digit ?,7
4717.jpg,What is the value of Second digit ?,4
4718.jpg,What is the value of Second digit ?,6
4719.jpg,What is the value of Second digit ?,7
4720.jpg,What is the value of Second digit ?,3
4721.jpg,What is the value of Second digit ?,0
4722.jpg,What is the value of Second digit ?,8
4723.jpg,What is the value of Second digit ?,6
4724.jpg,What is the value of Second digit ?,9
4725.jpg,What is the value of Second digit ?,1
4726.jpg,What is the value of Second digit ?,1
4727.jpg,What is the value of Second digit ?,2
4728.jpg,What is the value of Second digit ?,5
4729.jpg,What is the value of Second digit ?,9
4730.jpg,What is the value of Second digit ?,5
4731.jpg,What is the value of Second digit ?,1
4732.jpg,What is the value of Second digit ?,2
4733.jpg,What is the value of Second digit ?,4
4734.jpg,What is the value of Second digit ?,5
4735.jpg,What is the value of Second digit ?,9
4736.jpg,What is the value of Second digit ?,0
4737.jpg,What is the value of Second digit ?,2
4738.jpg,What is the value of Second digit ?,2
4739.jpg,What is the value of Second digit ?,4
4740.jpg,What is the value of Second digit ?,5
4741.jpg,What is the value of Second digit ?,0
4742.jpg,What is the value of Second digit ?,8
4743.jpg,What is the value of Second digit ?,4
4744.jpg,What is the value of Second digit ?,8
4745.jpg,What is the value of Second digit ?,6
4746.jpg,What is the value of Second digit ?,4
4747.jpg,What is the value of Second digit ?,0
4748.jpg,What is the value of Second digit ?,3
4749.jpg,What is the value of Second digit ?,4
4750.jpg,What is the value of Second digit ?,8
4751.jpg,What is the value of Second digit ?,8
4752.jpg,What is the value of Second digit ?,0
4753.jpg,What is the value of Second digit ?,9
4754.jpg,What is the value of Second digit ?,4
4755.jpg,What is the value of Second digit ?,3
4756.jpg,What is the value of Second digit ?,1
4757.jpg,What is the value of Second digit ?,2
4758.jpg,What is the value of Second digit ?,7
4759.jpg,What is the value of Second digit ?,9
4760.jpg,What is the value of Second digit ?,8
4761.jpg,What is the value of Second digit ?,1
4762.jpg,What is the value of Second digit ?,7
4763.jpg,What is the value of Second digit ?,5
4764.jpg,What is the value of Second digit ?,9
4765.jpg,What is the value of Second digit ?,6
4766.jpg,What is the value of Second digit ?,7
4767.jpg,What is the value of Second digit ?,2
4768.jpg,What is the value of Second digit ?,9
4769.jpg,What is the value of Second digit ?,9
4770.jpg,What is the value of Second digit ?,3
4771.jpg,What is the value of Second digit ?,8
4772.jpg,What is the value of Second digit ?,8
4773.jpg,What is the value of Second digit ?,9
4774.jpg,What is the value of Second digit ?,0
4775.jpg,What is the value of Second digit ?,3
4776.jpg,What is the value of Second digit ?,1
4777.jpg,What is the value of Second digit ?,2
4778.jpg,What is the value of Second digit ?,9
4779.jpg,What is the value of Second digit ?,7
4780.jpg,What is the value of Second digit ?,3
4781.jpg,What is the value of Second digit ?,9
4782.jpg,What is the value of Second digit ?,3
4783.jpg,What is the value of Second digit ?,2
4784.jpg,What is the value of Second digit ?,4
4785.jpg,What is the value of Second digit ?,3
4786.jpg,What is the value of Second digit ?,7
4787.jpg,What is the value of Second digit ?,1
4788.jpg,What is the value of Second digit ?,6
4789.jpg,What is the value of Second digit ?,1
4790.jpg,What is the value of Second digit ?,8
4791.jpg,What is the value of Second digit ?,3
4792.jpg,What is the value of Second digit ?,0
4793.jpg,What is the value of Second digit ?,0
4794.jpg,What is the value of Second digit ?,9
4795.jpg,What is the value of Second digit ?,8
4796.jpg,What is the value of Second digit ?,4
4797.jpg,What is the value of Second digit ?,5
4798.jpg,What is the value of Second digit ?,5
4799.jpg,What is the value of Second digit ?,3
4800.jpg,What is the value of Second digit ?,9
4801.jpg,What is the value of Second digit ?,8
4802.jpg,What is the value of Second digit ?,4
4803.jpg,What is the value of Second digit ?,5
4804.jpg,What is the value of Second digit ?,6
4805.jpg,What is the value of Second digit ?,2
4806.jpg,What is the value of Second digit ?,3
4807.jpg,What is the value of Second digit ?,0
4808.jpg,What is the value of Second digit ?,1
4809.jpg,What is the value of Second digit ?,7
4810.jpg,What is the value of Second digit ?,7
4811.jpg,What is the value of Second digit ?,6
4812.jpg,What is the value of Second digit ?,6
4813.jpg,What is the value of Second digit ?,9
4814.jpg,What is the value of Second digit ?,5
4815.jpg,What is the value of Second digit ?,4
4816.jpg,What is the value of Second digit ?,0
4817.jpg,What is the value of Second digit ?,6
4818.jpg,What is the value of Second digit ?,1
4819.jpg,What is the value of Second digit ?,2
4820.jpg,What is the value of Second digit ?,6
4821.jpg,What is the value of Second digit ?,3
4822.jpg,What is the value of Second digit ?,5
4823.jpg,What is the value of Second digit ?,9
4824.jpg,What is the value of Second digit ?,8
4825.jpg,What is the value of Second digit ?,6
4826.jpg,What is the value of Second digit ?,5
4827.jpg,What is the value of Second digit ?,6
4828.jpg,What is the value of Second digit ?,7
4829.jpg,What is the value of Second digit ?,7
4830.jpg,What is the value of Second digit ?,0
4831.jpg,What is the value of Second digit ?,4
